logic,size,sbs_solved,vbs_solved,empty_descriptions,avg_description_length
abv,2487,837,971,0,1225.27
alia,1537,298,390,0,1213.48
ania,78,9,13,0,1224.41
aufbv,761,517,519,1,115.0
aufdtlia,300,293,294,1,105.04
aufdtlira,4721,4194,4195,4721,0
aufdtnira,725,563,570,725,0
auflia,1662,1424,1446,1631,1147.97
auflira,1683,1569,1569,0,157.51
aufnira,300,66,72,0,192.37
bv,1040,952,1002,15,628.4
lia,300,300,300,0,493.32
lra,1013,1003,1005,0,139.39
nia,254,227,246,0,1228.87
nra,99,93,97,0,650.13
qf_abv,7574,7553,7558,1,119.34
qf_abvfp,627,625,626,297,189.96
qf_abvfplra,25,25,25,0,1286.72
qf_alia,176,170,171,0,431.62
qf_ania,155,134,142,0,1273.76
qf_aufbv,75,64,69,8,184.01
qf_aufbvfp,1,1,1,0,115.0
qf_auflia,534,534,534,34,254.16
qf_aufnia,9,9,9,0,1320.78
qf_ax,300,300,300,0,255.0
qf_bv,10703,10489,10560,1981,189.33
qf_bvfp,526,526,526,1,252.94
qf_bvfplra,75,75,75,1,1285.31
qf_dt,352,218,262,0,458.2
qf_fp,275,252,264,1,357.33
qf_fplra,55,55,55,13,1286.17
qf_idl,1208,1047,1101,252,258.28
qf_lia,4825,4514,4726,341,193.37
qf_lira,7,6,6,0,52.0
qf_lra,595,574,582,0,825.37
qf_nia,12274,9755,10189,10581,223.04
qf_nira,2,1,1,0,52.0
qf_nra,3103,2812,2932,39,705.43
qf_rdl,247,213,213,0,236.85
qf_s,8867,8853,8855,140,474.31
qf_slia,23722,23276,23700,3921,188.32
qf_snia,70,70,70,5,136.0
qf_uf,3521,3521,3521,24,162.76
qf_ufbv,300,288,291,0,1269.31
qf_ufdt,200,163,184,0,1233.61
qf_ufidl,300,276,286,0,585.09
qf_uflia,300,286,286,0,316.28
qf_uflra,541,538,538,0,42.97
qf_ufnia,339,236,266,217,512.56
qf_ufnra,48,47,47,1,228.23
uf,2857,1177,1201,26,171.78
ufbv,144,99,108,20,233.69
ufdt,1569,571,592,0,115.05
ufdtlia,294,211,211,18,98.71
ufdtlira,3382,3013,3029,3382,0
ufdtnia,2,1,1,1,1944.0
ufdtnira,2043,1873,1880,2043,0
ufidl,20,10,11,0,181.4
uflia,2849,1628,1657,0,148.98
uflra,7,2,2,0,65.43
ufnia,6279,3688,3759,22,165.21
ufnira,266,102,112,0,209.89
